stop_id,stop_name,stop_lon,stop_lat
PR-V-308,Alemania esq. Camila,-71.63002322399996,-33.04968703999998
PR-V-151,Alemania esq. Etchegaray,-71.62590318699995,-33.053343163999955
PR-V-122,Alemania esq. Lyon,-71.63128824699999,-33.04779724499997
PR-V-150,Alemania esq. Mackenna,-71.62494847299996,-33.05315601799998
PF-081,Almacenes Fiscales,-71.62945282599998,-33.03133344899993
PR-Q-099,Almiranre Grau esq. Teniente Serrano Del Tabique,-71.41538493999997,-33.06969693899998
PR-M-195,Almirante Gomez Carreno esq. Atlantico,-71.51932019099996,-32.99534436999994
PR-Q-121,Almirante Grau esq. Del Tabique,-71.41547963299996,-33.06965017799996
PR-V-396,Almirante Simpson esq. Alonso Cano,-71.59317302899996,-33.04894696899993
PR-V-424,Almirante Simpson esq. Campoamor,-71.59180488599998,-33.04909658399998
PR-V-228,Altamirano esq. El Parque,-71.63376974199997,-33.021875310999974
PR-V-229,Altamirano esq. Frente A Asmar,-71.63169027799995,-33.02593981499996
PR-V-242,Altamirano esq. Playa San Mateo,-71.62958545699996,-33.02775549299997
PR-V-173,Altamirano esq. Plaza Ruben Dario,-71.63571608499996,-33.01995313599997
PR-V-067,Altamirano esq. Plaza Sebastian Elcano,-71.64340903299995,-33.021114645999944
PR-V-176,Altamirano esq. Subida Leopoldo Carvallo,-71.64131519499995,-33.01917227699994
PR-M-25,Alvarez esq. Agua Santa,-71.56343395799996,-33.02467497499998
PR-M-06,Alvarez esq. Cantera,-71.53348168799994,-33.03290892999996
PR-M-58,Alvarez esq. Ecuador,-71.56061635399993,-33.02518409099997
PR-M-83,Alvarez esq. Eduardo Grove,-71.55284709299997,-33.02636314599994
PR-M-04,Alvarez esq. Limache,-71.53929475299998,-33.02964483799997
PR-M-38,Alvarez esq. Quinta Claude,-71.53632616499993,-33.030398693999985
PR-M-89,Alvarez esq. Simon Bolivar,-71.54380244599997,-33.02844069099996
PR-M-84,Alvarez esq. Villanelo,-71.55752017599997,-33.02565159399995
PR-M-357,Amunategui esq. 5 De Abril,-71.57843257599995,-33.02889083699995
PR-M-358,Amunategui esq. Manuel Antonio Matta,-71.58118279399997,-33.02779146299997
PR-M-381,Amunategui esq. Matta,-71.58110708899994,-33.02781312199994
PR-L-051,Andes Bello esq. Waddington,-71.25759348199995,-33.00969202599998
PR-L-048,Andes Bello esq. Waddington,-71.25816273599997,-33.01104484099994
PR-L-049,Andes Bello esq. Yungay,-71.25842264999994,-33.01180678299994
PR-L-030,Angamos esq. La Vista,-71.25026887499996,-33.02481539799993
PR-M-312,Angamos esq. Santander,-71.54296530299996,-32.97172838199998
PR-M-302,Anibal Pinto esq.  Av. Benjamin Vicuna Mackenna,-71.53466848299996,-32.973128961999976
PR-Q-039,Anibal Pinto esq.  Av. Los Carrera,-71.44556170599998,-33.04804331999998
PR-M-160,Anita Lizama esq. Ulises Pourier,-71.50146534599997,-33.013566828999956
PR-Q-046,Anita Lizana esq. Guillermo Ling,-71.45443421099998,-33.05784791999997
PR-Q-023,Anita Lizana esq. Guillermo Ling,-71.45443727899993,-33.057746598999984
PR-Q-027,Anita Lizana esq. Manuel Plaza,-71.45643539699995,-33.05693830599995
PR-Q-035,Anita Lizana esq. Pasaje California,-71.45848877299994,-33.056220646999975
PR-M-219,Antofagasta esq. Calle 26,-71.52897693999995,-32.98309832999996
PR-M-220,Antofagasta esq. Puerto Aysen,-71.52954496999996,-32.98136705299993
PR-M-246,A Pinto esq. V Mackenna,-71.53464918399999,-32.97326498099994
PR-M-536,Arlegui esq. Batuco,-71.54446483599997,-33.02512431599996
PR-M-545,Arlegui esq. Central,-71.54825244599994,-33.02447501299997
PR-M-02,Arlegui esq. Central,-71.54820064099994,-33.02448213499997
PR-M-535,Arlegui esq. Crucero,-71.54579755199995,-33.024931418999984
PR-M-533,Arlegui esq. Echevers,-71.55484999299995,-33.023498840999935
PR-M-100,Arlegui esq. Ecuador,-71.55914772699998,-33.02295484999996
PR-M-540,Arlegui esq. Pasaje Poblete,-71.54987593299995,-33.02424095499998
PR-M-532,Arlegui esq. Plaza Jose Francisco Vergara,-71.55241619899994,-33.02385877399996
PR-M-101,Arlegui esq. Traslav.Ina,-71.55773262099996,-33.02316413999995
PR-P-002,Arturo Prat esq. Alonso De Quintero,-71.52926171599995,-32.78289624799993
PR-P-001,Arturo Prat esq. Aranguiz Tudela,-71.52990253899998,-32.779432767999936
PR-O-101,Arturo Prat esq. Blanco Encalada,-71.18610496699995,-32.99540347599998
PR-O-100,Arturo Prat esq. Colegio,-71.18173729799997,-32.99531554699996
PR-V-056,Arturo Prat esq. Holanda,-71.55471518599995,-33.11700469699997
PR-L-108,Arturo Prat esq. Ohiggins,-71.18391747999993,-32.99535545699996
PR-V-057,Arturo Prat esq. Segunda Independencia,-71.55761590899994,-33.11624493099998
PF-078,Ascensor Villaseca,-71.62978320399998,-33.03139040299993
PR-Q-021,Atacama esq. Calama,-71.46699286299997,-33.05783342999996
PR-Q-034,Atacama esq. Chanaral,-71.46202119399999,-33.05769101299995
PR-Q-036,Atacama esq. El Loa,-71.46495799099995,-33.057813635999935
